name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Marilyn Ann Drive,56,5588943,855,9,,41.52589115597491,1,29,,residential,6,"LINESTRING (-111.9495659 33.4129837, -111.9498821 33.4127195)",walk,1
South Marilyn Ann Drive,57,5588943,9,855,,41.52589115597491,1,29,,residential,6,"LINESTRING (-111.9498821 33.4127195, -111.9495659 33.4129837)",walk,1
North Scottsdale Road,58,5589756,10,320,,263.3436306822833,6,35,,primary,3,"LINESTRING (-111.9263161 33.4312298, -111.9263136 33.4322147, -111.9262967 33.4328924, -111.9262698 33.4335976)",walk,0
South Farmer Avenue,59,5590090,11,3799,,98.98843842938712,1,29,,residential,6,"LINESTRING (-111.944268 33.4307934, -111.9442601 33.4299032)",walk,1
South Farmer Avenue,60,5590090,3799,11,,98.98843842938712,1,29,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.944268 33.4307934)",walk,1
South Farmer Avenue,61,5590090,3799,3795,,41.732579581305956,1,29,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442568 33.4295279)",walk,1
South Farmer Avenue,62,5590090,3795,3799,,41.732579581305956,1,29,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442601 33.4299032)",walk,1
South Farmer Avenue,63,5590090,3795,12,,1.3788483180202584,1,29,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442567 33.4295155)",walk,1
South Farmer Avenue,64,5590090,12,3795,,1.3788483180202584,1,29,,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279)",walk,1
South Farmer Avenue,65,5590095,26,27,,81.57797929323331,1,25,,residential,6,"LINESTRING (-111.9442875 33.4146337, -111.9442873 33.4145578, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.944311 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",walk,1
South Farmer Avenue,66,5590095,27,26,,81.57797929323331,1,25,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443115 33.4142442, -111.944311 33.4143981, -111.9443066 33.4144231, -111.9442932 33.4144534, -111.9442885 33.4144819, -111.9442873 33.4145578, -111.9442875 33.4146337)",walk,1
South Farmer Avenue,67,5590095,27,28,,80.16146292530404,1,25,,residential,6,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",walk,1
South Farmer Avenue,68,5590095,28,27,,80.16146292530404,1,25,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026)",walk,1
South Farmer Avenue,69,5590095,28,4680,,53.5627075409528,1,25,,residential,6,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443084 33.4127)",walk,1
South Farmer Avenue,70,5590095,4680,28,,53.5627075409528,1,25,,residential,6,"LINESTRING (-111.9443084 33.4127, -111.9443088 33.4130312, -111.9443094 33.4131817)",walk,1
East 6th Street,71,5591077,29,3941,,19.044238205438358,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839, -111.9304005 33.4232277, -111.9303882 33.423295)",walk,1
East 6th Street,72,5591077,3941,29,,19.044238205438358,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9304264 33.4231268)",walk,1
